label,R,G,B,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,contrast 0,contrast 45,contrast 90,contrast 135
1,134.95812671467763,155.80334619341565,134.38632630315502,6.29129198966455,6.650054932906627,6.377709732989181,6.4391030734794175,0.2700565781746564,0.2590203670208816,0.2632674384666963,0.26278920761212066,178.21713867356766,189.46335387848586,165.88184409992533,177.8664914456838
1,137.0116546639232,158.14772633744855,131.41087620027434,5.677229974160516,6.457178245187954,6.5196985357454205,6.595229992676256,0.3448516366082673,0.33390639767215274,0.33192451835573417,0.32284353701780905,174.90192075797657,237.63642708090404,242.55917312662694,244.1538475491134
1,129.5236488340192,153.08016117969822,133.1493998628258,4.289087855297178,4.707985828001616,4.506931093884484,4.680513329003548,0.4486198415096667,0.43386375683223233,0.44587640953844154,0.4349303942346114,150.29786821705278,177.66259190034384,165.6144056847518,177.8579535246989
1,129.5236488340192,153.08016117969822,133.1493998628258,4.289087855297178,4.707985828001616,4.506931093884484,4.680513329003548,0.4486198415096667,0.43386375683223233,0.44587640953844154,0.4349303942346114,150.29786821705278,177.66259190034384,165.6144056847518,177.8579535246989
1,130.49748885459533,152.97384516460906,138.79595078875172,5.547504737295691,5.936130132254227,5.909679586563577,6.0475791517537205,0.33533473306689565,0.32332817072867265,0.32193844411258626,0.3185052283142662,167.49338415159883,190.92697637541198,176.6449732988873,185.37105104961225
1,130.49748885459533,152.97384516460906,138.79595078875172,5.547504737295691,5.936130132254227,5.909679586563577,6.0475791517537205,0.33533473306689565,0.32332817072867265,0.32193844411258626,0.3185052283142662,167.49338415159883,190.92697637541198,176.6449732988873,185.37105104961225
1,123.11329046639231,139.09308470507546,133.30785322359395,5.217571920758427,5.6547691436002525,5.653637381568072,5.682884253949657,0.2951907035310568,0.28033560621966486,0.28298998858695873,0.2810227055584793,156.07437639966852,174.12447140035977,169.06032988804282,172.71282787000476
1,141.5323353909465,160.95405521262003,129.99558470507546,4.3064366925066935,4.64448217962756,4.505237726098423,4.502108352565964,0.4075116315526246,0.3811596944630651,0.39426914084749515,0.3963809462072263,96.46810766580926,105.8205283232768,99.84710508182978,103.0994173311674
1,141.5323353909465,160.95405521262003,129.99558470507546,4.3064366925066935,4.64448217962756,4.505237726098423,4.502108352565964,0.4075116315526246,0.3811596944630651,0.39426914084749515,0.3963809462072263,96.46810766580926,105.8205283232768,99.84710508182978,103.0994173311674
1,122.9047633744856,144.19894290123457,123.16580161179698,7.5002678725241925,7.868687034453218,7.312548664944543,7.84749813435506,0.25916000871507905,0.24860667452751053,0.25529195707750435,0.2503571546038428,248.76294315247196,268.52742413042904,228.10474504739017,273.59497605757343
1,134.95812671467763,155.80334619341565,134.38632630315502,6.29129198966455,6.650054932906627,6.377709732989181,6.4391030734794175,0.2700565781746564,0.2590203670208816,0.2632674384666963,0.26278920761212066,178.21713867356766,189.46335387848586,165.88184409992533,177.8664914456838
1,122.9047633744856,144.19894290123457,123.16580161179698,7.5002678725241925,7.868687034453218,7.312548664944543,7.84749813435506,0.25916000871507905,0.24860667452751053,0.25529195707750435,0.2503571546038428,248.76294315247196,268.52742413042904,228.10474504739017,273.59497605757343
1,132.38135373799724,153.02436042524005,134.24353137860084,5.4262394487513985,5.692466418375206,5.575585701981473,5.754233115905625,0.33897593869396153,0.3245997287444026,0.32979715425082484,0.3265044776412516,156.57774849268742,166.75270605024,154.40374763136424,173.24179029451497
1,132.38135373799724,153.02436042524005,134.24353137860084,5.4262394487513985,5.692466418375206,5.575585701981473,5.754233115905625,0.33897593869396153,0.3245997287444026,0.32979715425082484,0.3265044776412516,156.57774849268742,166.75270605024,154.40374763136424,173.24179029451497
