label,R,G,B,Contrast,Homogeneity,Energy
1,134.95812671467763,155.80334619341565,134.38632630315502,178.21713867355726,0.27005657817464057,0.03784957712592997
1,137.0116546639232,158.14772633744855,131.41087620027434,174.90192075796728,0.3448516366082517,0.048248347620426166
1,129.5236488340192,153.08016117969822,133.1493998628258,150.2978682170543,0.4486198415096674,0.08075839978733175
1,129.5236488340192,153.08016117969822,133.1493998628258,150.2978682170543,0.4486198415096674,0.08075839978733175
1,130.49748885459533,152.97384516460906,138.79595078875172,167.49338415159346,0.3353347330668848,0.05962811535920098
1,130.49748885459533,152.97384516460906,138.79595078875172,167.49338415159346,0.3353347330668848,0.05962811535920098
1,123.11329046639231,139.09308470507546,133.30785322359395,156.07437639965548,0.29519070353103116,0.03880860306828046
1,141.5323353909465,160.95405521262003,129.99558470507546,96.46810766580535,0.4075116315526063,0.05772300387464484
1,141.5323353909465,160.95405521262003,129.99558470507546,96.46810766580535,0.4075116315526063,0.05772300387464484
1,122.9047633744856,144.19894290123457,123.16580161179698,248.76294315245482,0.25916000871506273,0.04101522689542862
1,134.95812671467763,155.80334619341565,134.38632630315502,178.21713867355726,0.27005657817464057,0.03784957712592997
1,122.9047633744856,144.19894290123457,123.16580161179698,248.76294315245482,0.25916000871506273,0.04101522689542862
1,132.38135373799724,153.02436042524005,134.24353137860084,156.57774849267875,0.33897593869394366,0.05080778795076159
1,132.38135373799724,153.02436042524005,134.24353137860084,156.57774849267875,0.33897593869394366,0.05080778795076159
1,125.75729852537722,146.42297067901234,130.29763203017833,168.18190267011195,0.3039027983074277,0.048507354811224666
1,125.75729852537722,146.42297067901234,130.29763203017833,168.18190267011195,0.3039027983074277,0.048507354811224666
1,141.9447033607682,158.8803163580247,145.48244770233197,152.0950301464255,0.36304363450734906,0.05648234957890375
1,123.15765089163237,152.3475600137174,130.8148268175583,256.6873100775194,0.33988905297150174,0.0513866023745243
1,123.15765089163237,152.3475600137174,130.8148268175583,256.6873100775194,0.33988905297150174,0.0513866023745243
1,127.61518175582991,151.09900548696845,134.17556755829904,242.50427045650304,0.36726625855698686,0.05467679710947564
1,166.04325703017832,182.92507973251028,163.9495010288066,179.87236089577954,0.34760395158975615,0.05416231863577295
1,127.61518175582991,151.09900548696845,134.17556755829904,242.50427045650304,0.36726625855698686,0.05467679710947564
1,135.50005829903978,158.32834104938271,146.27695130315502,183.35369681309217,0.33901496708071716,0.059038438972371064
1,135.50005829903978,158.32834104938271,146.27695130315502,183.35369681309217,0.33901496708071716,0.059038438972371064
1,138.77780092592593,163.9369761659808,145.0032896090535,143.56810594315246,0.3355543628513237,0.0499372283079399
1,138.77780092592593,163.9369761659808,145.0032896090535,143.56810594315246,0.3355543628513237,0.0499372283079399
1,134.9918038408779,157.4947599451303,144.52222650891633,198.4447881136951,0.33992413361821044,0.06260633711336612
1,134.9918038408779,157.4947599451303,144.52222650891633,198.4447881136951,0.33992413361821044,0.06260633711336612
1,135.4928806584362,159.0032973251029,136.38818501371742,202.3663652024117,0.32097010331297837,0.056813719173040914
1,135.4928806584362,159.0032973251029,136.38818501371742,202.3663652024117,0.32097010331297837,0.056813719173040914
1,166.04325703017832,182.92507973251028,163.9495010288066,179.87236089577954,0.34760395158975615,0.05416231863577295
